Facility Name,Region,DataSource,IndividualId,Company/First Name,CAM,Care Team,Care Team Clinical Mgr,Telmediq ID,Facility Type,Status,Client Status,Facility NPI #,AddressLine1,City,State,StateCode,PostalCode,County,Work Phone,fax,Fax to Send Notes,Fax to Send Sched,Email,Email to Send Schedule,Lab,Lab Sched Day,Xray/Imaging,Home Health,Hospice,Total Patients,BHI Volume,CCM Volume,Telehealth Volume,Primary Care Volume,Primary Care ALF Volume,Primary Care SNF Volume,Primary Care IL Volume,Psychiatry Volume,Psychotherapy Volume,Ortho Volume,Mental Health Volume,Dermatology Volume,Podiatry Volume,Specialty Volume,Pain Volume,Wound Care Volume,MCO,APCM Volume,VBLTC Volume,Competitor,Licensed Bed #,Current Census #,Eventus EMR,Facility EMR MA Access,PC Provider 1,PC Provider 1 NPI,PC Sched Days 1,PC Provider 2,PC Provider 2 NPI,PC Sched Days 2,PC Provider 3,PC Sched Days 3,Medical Director,PC Sched Days 4,PC Provider - 4,PC Provider 1 / CTA,PC Provider 1 CTA,PC Provider 1 MA,PC Provider 2 MA,PC Start Date,PC Frequency,Medical Director Name,Psychiatry Provider 1,Psychiatry Provider 1 NPI,Psychiatry Sched Days 1,Psychiatry Provider 2,Psychiatry Provider 2 NPI,Psychiatry Sched Days 2,Psychiatry Provider 1 MA,Psychiatry Provider 2 MA,Psychiatry Provider 1 / CTA,Psychiatry Provider 1 CTA,Psychiatry Provider 2 CTA,Psychiatry Start Date,Psychiatry Frequency,Psychotherapy Provider 1,Psychotherapy Provider 1 NPI,Psychotherapy Sched Day 1,Psychotherapy Provider 2,Psychotherapy Sched Day 2,Psychotherapy Prov 1 MA,Psychotherapy Prov 2 MA,Psychotherapy Provider 2 NPI,Psychotherapy Provider 1 CTA,Psychotherapy Start Date,Psychotherapy Frequency,Podiatry Provider 1,Podiatry Provider 1 NPI,Podiatry Provider 2,Podiatry Provider 1 MA,Podiatry Sched Day 1,Podiatry Sched Day 2,Podiatry Start Date,Podiatry Frequency,Pain Provider 1,Pain Provider 1 MA,Pain Sched Day 1,Pain Provider 2,Pain Provider 2 MA,Pain Sched Day 2,Pain Start Date,Pain Frequency,Pain Freq Other,Pain Status,Wound Care Provider 1,Wound Care Provider 1 NPI,Wound Care Provider 1 MA,Wound Care Sched Day 1,Wound Care Provider 2,Wound Care Provider 2 MA,Wound Care Sched Day 2,Wound Care Start Date,Wound Care Frequency,Wound Care Freq Other,Wound Care Status,Specialty Provider 1,Specialty Provider 1 MA,Specialty Sched Day 1,Specialty Provider 2,Specialty Provider 2 MA,Specialty Sched Day 2,Specialty Start Date,Specialty Frequency,Specialty Freq Other,Specialty Status,Title/Position,Title,Parent Company,Legacy EMR,Mobile Phone,Alternate Phone,Contact 1,Contact 1 Email,Contact 1 Title/Position,Contact 1 Mobile Phone,Contact 1 Work Phone,Contact 1 Alternate Phone,Contact 2,Contact 2 Email,Contact 2 Title/Position,Contact 2 Mobile Phone,Contact 2 Work Phone,Contact 2 Alternate Phone,Contact 3,Contact 3 Email,Contact 3 Title Position,Contact 3 Mobile Phone,Contact 3 Work Phone,Contact 3 Alternate Phone,Contact 4,Contact 4 Email,Contact 4 Title/Position,Contact 4 Mobile Phone,Contact 4 Work Phone,Contact 4 Alternate Phone,Contact 5,Contact 5 Email,Contact 5 Title/Position,Contact 5 Mobile Phone,Contact 5 Work Phone,Contact 5 Alternate Phone,Contact 6,Contact 6 Email,Contact 6 Title/Position,Contact 6 Mobile Phone,Contact 6 Work Phone,Contact 6 Alternate Phone,Source System ID,AdvMD ID,AdvMD Name,Auto Sending of Sched,Attending MDDO,Attending MDDO NPI,Medical Director NPI,Back Up Lab,LTC ACO,ACO Reach,RMAL,Pharmacy,ACO Physician,ACO Physician NPI,EOD Report,BHI Coordinator,BHI Coordinator ID,Last Field Visit,Palliative Care NPI,Palliative Care Provider,Palliative Care Volume,SNP Volume,VA Patient Volume,Psychiatry Attending,Psychiatry Attending NPI,ISNP Provider,ISNP Provider NPI,Created,CMSCCN,,
Palmetto Ridge Assisted Living and Memory Care,,CP,6797374,,Grayson Rhodes,Carolinas Southeast,Valerie Blouin-Hunter,NULL,AL,Established,Green,1225371602,840 Manor Road,Cheraw,,South Carolina,29520,"Chesterfield County, SC",8435374197,NULL,NULL,843-537-9990,,NULL,NULL,NULL,NULL,NULL,NULL,9,1,6,2,0,0,0,0,9,8,0,0,0,0,0,0,0,NULL,0,0,NULL,106,93,564,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Michael Dziat,1255735254,W Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,April Bull,1326201955,F Q1M,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,NULL,,,Anita McClam,Palmettoridge@yahoo.com, Resident Care Coordinator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wendy Jeffrey,Palmettoridge@yahoo.com,Administrator,NULL,NULL,NULL,Sandy Bright,Palmettoridge@yahoo.com,BOM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,564,1467,PALMETTO RIDGE ASSISTED LIVING AND MEMORY CARE,NULL,XXX,NULL,0,NULL,0,0,Jaleecia Morton,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,NULL,,
Todd Dickey,,CP,6797982,,Tiffany Johnson-Burnette,Southern Indiana,Cortney Hendress,NULL,SNF,Established,Green,1083786776,712 W 2ND STREET,LEAVENWORTH,,Indiana,47137,"Crawford County, IN",8127392292,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,41,21,18,40,0,0,0,0,41,25,0,0,0,0,0,0,0,NULL,0,0,NULL,62,56,228,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Betsy Harrison,1750707535,F Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Katherine Standiford,1568194462,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,American Senior Communities,NULL,,,Tina Marti,NULL,Executive Director,NULL,NULL,NULL,Judy Shacklette,181ss@americansrcommunities.com,Other,NULL,NULL,NULL,Amy,181dns@ascseniorcare.com,DNS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,950,TODD DICKEY NURSING & REHAB,NULL,XXX,NULL,0,NULL,0,0,Chelsea Shoots,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,155368,,
Gates House ALF and Memory Care,,CP,6797204,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,AL,Established,Yellow,1306226253,11 Commerce Drive,Gatesville,,North Carolina,27938,"Gates County, NC",252-357-1379,(252) 357-1588,NULL,NULL,,jerrell.sessoms@navionsl.com ; Miranda.barneycastle@navionsl.com ; Kimberly.Chanell@navionsl.com,Mako,NULL,MMDS,NULL,NULL,49,30,36,38,46,46,0,0,38,42,0,0,0,0,0,9,0,Trillium,21,0,NULL,70,58,483,ECP,Nellie Chamblee,1508199860,F 3/M,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,12/5/2023,,XXX,Heather Lee,1255678884,Th Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Navion,Chartpath,,,Jerrell Sessoms,jerrell.sessoms@navionsl.com,ED,NULL,NULL,NULL,Miranda Barneycastle ,Miranda.barneycastle@navionsl.com,Clinical Nurse Specialist ,NULL,NULL,NULL,Kimberly Chanell,Kimberly.Chanell@navionsl.com,RCD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,483,1386,GATES HOUSE ALF AND MEMORY CARE,NULL,Parul Bhagalia- Patel,1841518768,0,NULL,16,0,Haley Shaffer,NULL,NULL,NULL,NULL,Johane Hernandez,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Summit City,,CP,6797496,,Tammy Taschwer,Northeast Indiana,Kara Younce,NULL,SNF,Established,Green,1699834176,2940 N CLINTON ST,Fort Wayne,,Indiana,46805,"Allen County, IN",260-484-0602,(260) 471-2244,NULL,NULL,,jamiegiddings@asccare.com,NULL,NULL,NULL,NULL,NULL,45,16,16,38,0,0,0,0,29,39,0,0,0,0,0,0,0,NULL,0,0,NULL,93,54,225,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Lisa Omo-Griffith,1629399696,W Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Haley Rush,1225807993,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,Service end 3/18/23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,American Senior Communities,NULL,,,Jenna,152ss@ascseniorcare.com,SSD,NULL,NULL,NULL,Jay Gerardot,NULL,Executive Director,NULL,NULL,NULL,Jamie Giddings,jamiegiddings@asccare.com,DON,NULL,NULL,NULL,Jamie Giddings,jamiegiddings@asccare.com,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225,102,SUMMIT CITY OF FORT WAYNE,NULL,XXX,NULL,0,NULL,0,0,Russellina Charnley,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,155159,,
Trinity Grove,,NULL,NULL,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,SNFMD,Established,Green,1194028118,631 Junction Creek Drive ,Wilmington ,,North Carolina,28412,NULL,(910) 442-3001,(910) 442-3010,Interface will Need To Be Created ,Email Schedules Please,,SAdams@trinitygrove.net,Quest Diagnostics ,?,QMX,?,?,100,45,56,98,99,0,99,0,71,70,0,0,0,0,0,29,0,NULL,98,0,NULL,100,87,2137,PCC - Intergrated,Kailynn Harrison,1649731407,"M, W, F Q1W & Th Q2W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,Surah Grumet,TBD,1,M Q2W,NULL,NULL,NULL,,,,,,11/17/2025,NULL,Jakelia Hampton,1104468289,W Q2W,NULL,NULL,,,NULL,,NULL,,XXX,0,,,xxx,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,xxx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Lutheran Home,Point Click Care ,,,Ed Parrish ,EParrish@trinitygrove.net,Administrator ,NULL,NULL,NULL,Sharon Adams ,SAdams@trinitygrove.net,DON,NULL,NULL,NULL,Janet Insley ,JInsley@trinitygrove.net,Medical Records ,NULL,NULL,NULL,Angela Blanton,ablanton@trinitygrove.net,ADON,NULL,NULL,NULL,Stacey Fulghum,sfulghum@trinitygrove.net,Unit Manager,NULL,NULL,NULL,Emily Liverman,eliverman@trinitygrove.net,Unit Manager,NULL,NULL,NULL,2137,NULL,NULL,NULL,Gregorio Jacob,1558325811,1497885354,NULL,43,0,Haley Shaffer,Leading Care Pharmacy ,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,10/6/2025 8:04,345554,,
Covenant Care,,CP,6797695,,Grayson Rhodes,Carolinas Southeast,Valerie Blouin-Hunter,NULL,AL,Established,Green,covenantCare,600 Mt Moriah Church Rd,Lumberton,,North Carolina,28360,"Robeson County, NC",(910) 887-6170,(910) 887-6186 ,NULL,9107389093@rcfax.com,,covenantcareoffice@gmail.com,Mako,4-Wednesday,MMDS/Rapid radiology,NULL,NULL,11,5,6,11,11,11,0,0,11,10,0,0,0,0,0,6,0,NULL,11,0,NULL,NULL,NULL,959,No access,Brandie Jacobs,1386306561,Tu Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Nickey Dimery,1407455363,M Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,April Bull,1326201955,W Q1M,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,CENTRE PARTNERS,Chartpath,,,Tasha Wade,covenantcareoffice@gmail.com,Administrator ,9107408677,NULL,NULL,Latoya Floyd,covenantcareoffice@gmail.com,RCC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,959,2068,COVENANT CARE,NULL,Rhonda Lowry,1215936026,0,NULL,5,0,Jaleecia Morton,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Brookdale Reynolda,,CP,6798638,,Bambi Anderson,Triad,Nicole Garner,NULL,AL,Established,Green,1356407217,2980 Reynolda Rd,Winston- Salem,,North Carolina,27106,"Forsyth County, NC",336-722-1617,(336) 831-0479,NULL,3368310479@rcfax.com,,e100830517@brookdale.com,Mako,Friday ,Trident Care,NULL,NULL,37,27,32,36,37,37,0,0,20,30,0,0,0,1,0,6,0,CenterPoint,25,0,NULL,NULL,NULL,423,PCC,Chelsea Tilley,1790413391,Tu Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Matthew Quick,1730802935,Th Q1M,NULL,NULL,NULL,,,,,,NULL,NULL,Katherine Patterson,1740808617,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,BROOKDALE SENIOR LIVING,ECW,,,NULL,NULL,NULL,NULL,NULL,NULL,Nanette Maher,e100830517@brookdale.com,Health & Wellness Director,NULL,NULL,NULL,Charisse Fain,cfain@brookdale.com,NULL,NULL,NULL,NULL,Hannah Adams,hadams3@brookdale.com,Executive Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Shanantoria Williams,NULL,Business Office Manager (BOM),NULL,NULL,NULL,423,1326,BROOKDALE REYNOLDA,NULL,Michael Piazza,1598729345,0,NULL,10,0,Frances Long,Southern,NULL,NULL,NULL,Myles Lindsay,NULL,00:00.0,1124883426,Donisia Germany,2,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,NULL,,
Summit Place of Mooresville,,NULL,NULL,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,AL/MC,Established,Green,1447538657,128 Brawley School Road ,Mooresville,,North Carolina,28117,Iredell,(704) 799-2712,(704) 799-2719,NULL,NULL,,Darlene.hart-hargro@phoenixsrliving.com,MAKO Medical ,Tuesday,Trident Care,Center Well ,VIA,22,16,13,21,0,0,0,0,20,22,0,0,0,0,0,0,0,NULL,7,0,NULL,60,44,2081,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Bria Coles,1588484422,M Q2W,NULL,NULL,NULL,,,,,,6/16/2025,NULL,TBD,1,TBD,NULL,NULL,,,NULL,,NULL,,XXX,0,,,XXX,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,XXX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,PHOENIX SENIOR LIVING,QuickMar,,,Portia Griffin,Portia.Griffin@phoenixsrliving.com,Wellness Director ,NULL,NULL,NULL,Jolyn Salmond ,jolyn.salmond@phoenixsrliving.com,Executive Director ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2081,771,SUMMIT PLACE OF MOORESVILLE,NULL,XXX,0,0,NULL,0,0,Brittany Morgan,Southern Pharmacy Kenersville ,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,1,Hans Stelmach,1356535991,NULL,NULL,5/22/2025 10:33,NULL,,
Durham Ridge,,CP,6798645,,Grayson Rhodes,Triangle,Leigh Cox Feranec,NULL,MC,Established,Green,1578600680,3420 Wake Forest Hwy,Durham,,North Carolina,27703,"Durham County, NC",9195969464,(919) 597-8915,NULL,9195969503@rcfax.com,,gjones@drassistedliving.com; ddixon@drassistedliving.com; dwhoie@drassistedliving.com; jhall@elevati,Mako,Tuesday,Trident Care,Amedysis,Amedysis,110,70,78,101,104,104,0,0,99,96,0,0,0,83,0,17,0,NULL,65,0,NULL,NULL,NULL,470,NULL,Mary Beth Lipscomb,1932866407,"M, W, F, Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Colette Affiah,1457170375,"M, Th Q1W",NULL,NULL,NULL,,,,,,NULL,NULL,Arthur Raine,1750055513,Th Q1W,NULL,NULL,,,NULL,,NULL,,Andrea Gilroy,1013265495,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,JANET MOOSE,ECW,,,Debbie Dixon,ddixon@drassistedliving.com,Resident Care Coordinator (RCC),NULL,NULL,NULL,Garrett Jones,gjones@drassistedliving.com,Administrator,NULL,919-596-9464,NULL,Garret Jones,gjones@drassistedliving.com,ED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,470,1373,DURHAM RIDGE,NULL,Rayomand Bengali,1811152804,0,NULL,1,0,Frances Long,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1275498594,Qi Zheng,31,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,NULL,,
Greenville Health and Rehab,,CP,6797554,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,SNFMD,Established,Green,1225279755,2578 West 5th Street,Greenville,,North Carolina,27834,"Pitt County, NC",252-758-7100,(252) 758-1485,NULL,NULL,,Tonya.acklin@GreenvilleHRC.com ; Audrey.blount@choice-health.net ; penny.fulcher@choice-health.net ; lapope@greenvillehrc.com,Meridian,NULL,NULL,NULL,NULL,137,44,40,61,125,0,125,0,48,52,0,0,0,0,0,35,0,Trillium,50,0,NULL,120,114,770,NULL,Iris Grames,161846615,"M, Tu, W, Th, F Q1W",Kandice Speight,1184343584,F Q1W & M Q2W,NULL,NULL,,NULL,NULL,,,,,NULL,,Steven Skahill,Chicquita Ward,1427897032,M Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Mark Sudekum,1497077861,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,MFA,Chartpath,,,Kimberly Jordan,kimberly.jordan@greenvillehrc.com,DON,NULL,NULL,NULL,Jackie Woolard,jackie.woolard@greenvillehrc.com,Administrator,NULL,NULL,NULL,Raven Butler,raven.butler@GreenvilleHRC.com,Med Rec,NULL,NULL,NULL,Kasey Millirons/Lakish Tuten,kasey.millirons@greenvillehrc.com/Lakish.tuten@greenvillehrc.com,Unit Manager,NULL,NULL,NULL,Brittney Miller,marmiller@greenvillehrc.com,RN Sup,NULL,NULL,NULL,Tonya Acklin,Tonya.acklin@GreenvilleHRC.com,ADON,NULL,NULL,NULL,770,1677,UNIVERSAL HEALTHCARE GREENVILLE,NULL,Steven Skahill,1023017233,1023017233,NULL,27,0,Haley Shaffer,NULL,NULL,NULL,NULL,Destiny Blount,NULL,00:00.0,0,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,345181,,
Kannapolis Health And Rehabilitation,,CP,6797546,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,SNFMD,Established,Green,1669410312,1810 Concord Lake Rd,Kannapolis,,North Carolina,28083,"Cabarrus County, NC",7049333781,(828) 648-2065,NULL,NULL,,abigail.c.hembree@consulatehc.com,NULL,NULL,NULL,NULL,NULL,93,37,50,61,91,0,91,0,49,36,0,0,0,34,0,12,0,Partners,60,0,NULL,NULL,NULL,666,Citrix-PCC,Debra Hall,1164494886,"M, Tu, Th Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,George Hall,Zachary Harper,1134911985,W Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Bryan Patterson,1316939788,NULL,NULL,NULL,,,NULL,,NULL,,Barbara Worley,1295124774,,,Q2M,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Avardis,Chartpath,,,Gerzain Santana - Podiatry Contact,GERZAIN.SANTANA@kannapolishealth.com,Other,NULL,NULL,NULL,Tanya Rocquemore,tanya.j.rocquemore@kannapolishealth.com ,Administrator,NULL,NULL,NULL,Erica Fulton,erica.y.fulton@kannapolishealth.com,DON,NULL,NULL,NULL,Gazella Williams,Gazella.m.williams@kannapolishealth.com,SW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Theresa Ludwick,theresa.b.ludwick@kannapolishealth.com,MDS,NULL,NULL,NULL,666,1569,TRANSITIONAL HEALTH KANNAPOLIS,NULL,Kenneth Huber,1366621724,1518149277,NULL,13,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1104601871,Shatazamine Galloway,19,0,0,Hans Stelmach,1356535991,XXX,0,7/17/2023 15:00,345258,,
Chestnut Ridge Health & Rehabilitation,,CP,6797292,,Tiffany Johnson-Burnette,Northeast Kentucky,Margaret Wienclaw,NULL,SNF,Established,Green,1508362120,1015 Magazine Street,Louisville,,Kentucky,40203,"Jefferson County, KY",5028156460,(502) 254-4209,NULL,NULL,,TSullivan@ChestnutRidgeHR.com ; edunn@chestnutridgehr.com,facility orders,NULL,facility orders,NULL,NULL,64,28,33,55,0,0,0,0,53,56,0,0,0,0,0,0,0,NULL,22,0,NULL,NULL,NULL,527,PCC - integrated,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Catherine Flem,1699388942,W Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Ernesto Nillar-Fonseca,1508003195,M Q1W,NULL,NULL,,,NULL,,1/15/2024,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INFINITY HEALTHCARE CONSULTING,NULL,,,Tahnia Sullivan,TSullivan@ChestnutRidgeHR.com,DON,NULL,NULL,NULL,Ebony Dunn,edunn@chestnutridgehr.com,SW,NULL,NULL,NULL,Sherita Autrey,SAutrey@ChestnutRidgeHR.com,Administrator,NULL,NULL,NULL,Teona Baker,tbaker@chestnutridgehr.com,ADON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,527,1430,LANDMARK OF RIVER CITY,NULL,XXX,NULL,0,NULL,0,0,Kayla D. Saylor,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Kelly Butler,1518960681,NULL,NULL,7/17/2023 15:00,185468,,
Magnolia Springs Florence,,NULL,NULL,,Tiffany Johnson-Burnette,Northeast Kentucky,Margaret Wienclaw,NULL,AL,Established,Red,magnoliaSprings,"7665 Ewing Blvd, Florence, KY 41042",Florence,,Kentucky,41042,NULL,(859) 282-1328,() -,NULL,NULL,,"ramontkim@msflorence.com, heather.mcdonald@msflorence.com",N/A - Family takes out,NULL,N/A - Family takes out,Familes Decides,Family Call,11,2,2,11,11,11,0,0,5,5,0,0,0,0,0,0,0,NULL,9,3,NULL,82,60,151,NULL,Kevin Hartley,1396375952,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,TBD,1,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Sinceri Senior Living,N/A,,,Kim Ramont,ramontkim@msflorence.com,Executive Director,NULL,NULL,NULL,Heather McDonald,heather.mcdonald@msflorence.com,Health and Wellness Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Kayla D. Saylor,Mullaney,NULL,NULL,NULL,NULL,NULL,NULL,0,XXX,0,0,0,NULL,NULL,XXX,0,1/14/2026 10:38,NULL,,
